insight_id,category,title,description
346,"Batch 14","Script PS02","Same truck number assigned to multiple transporters on the same day"
347,"Batch 14","Script PS03","Same truck with multiple truck categorization (truck type - 9T, 16T, 24T)"
348,"Batch 14","Script PS04","Shipments with invalid/blank truck numbers"
349,"Batch 14","Script PS05","Duplicate Shipment claimed by transporter (vendor code + LR number + Date)"
350,"Batch 14","Script PS06","The difference in per kg freight cost on same the route for same the vendor"
351,"Batch 14","Script PS07","The difference in per kg freight cost on same the route for different vendor"
352,"Batch 14","Script PS08","Higher freight claimed using incorrect truck type (FTL & PTL Shipment - Truck Load less than 70%)"
353,"Batch 15","Script HK01","Identify Absenteeism Patterns - Cluster Analysis"
354,"Batch 15","Script HK02","Evaluating Job Satisfaction - Association Rule Mining"
355,"Batch 15","Script HK03","Forecasting HR Cost - Time Series Modeling"
356,"Batch 15","Script HK04","Evaluate Training Effectiveness - Comparative Statistics"
357,"Batch 15","Script HK05","Structuring Employee Rewards Package - Conjoint Analysis"
358,"Batch 15","Script HK06","Reviewing Employee Details – Data Visualization"
359,"Batch 15","Script HK07","Analyzing Employee Details – Data Exploration & Manipulation"
360,"Batch 16","Script TE01","HR Practices mismatching with existing policies"
361,"Batch 16","Script TE02","Claim of Alchol and other restricted items as reimbursement"
362,"Batch 16","Script TE03","Employee Expense claimed on Holiday or Personal Leave Days"
363,"Batch 16","Script TE04","Duplicate Claims against Multiple Report ID"
364,"Batch 16","Script TE05","Claim of Airfare and Car Expense on the same time"
365,"Batch 16","Script TE06","Duplicate Employee ID"
366,"Batch 16","Script TE07","More than one employee claiming reimbursement of same expense"
367,"Batch 16","Script TE08","Overclaiming of expenses under head"
368,"Batch 16","Script TE09","Exceeding the approved limit for expense"
369,"Batch 16","Script TE10","Split Expense to bypass approvals"
370,"Batch 17","Script VT01","Forecast of financial statements"
371,"Batch 17","Script VT02","Scenerio Simulator"
372,"Batch 17","Script VT03","Fluctuation Analysis"
373,"Batch 17","Script VT04","Working Capital & Cash Management"
374,"Batch 17","Script VT05","Forex and Risk Management"
375,"Batch 17","Script VT06","Debt and Capital Management"
376,"Batch 17","Script VT07","Product Price Optimization"
377,"Batch 17","Script VT08","Marketing Campagin Effectiveness Analysis"
378,"Batch 17","Script VT09","Transfer Pricing - Effective Profit Allocation"
379,"Batch 17","Script VT10","Transfer Pricing - Effective Cost Allocation"
380,"Batch 17","Script VT11","SBU Efficiency Analysis"
381,"Batch 17","Script VT12","Quotation Comparison and Ranking"
382,"Batch 17","Script VT13","Production Planning and Inventory Optimization"
383,"Batch 18","Script OP01","Employee Dependents registered as Vendors"
384,"Batch 18","Script OP02","Duplicate Allowance Payments to Employees"
385,"Batch 18","Script OP03","Inconsistent Salary Payout"
386,"Batch 18","Script OP04","Education Reimbursement paid as per eligibility"
387,"Batch 18","Script OP08","Reconciliation of attendance master with salary payout"
388,"Batch 18","Script OP06","Mandatory fields which are blank as part of employee master"
390,"Batch 18","Script OP07","Product Wise Split"
391,"Batch 18","Script OP09","Double payment to Same Invoice"
392,"Batch 18","Script OP10","Invoices created/approved by resigned employees post exit from the company"
393,"Batch 18","Script OP11","Invoices approved weekend and other public holidays"
394,"Batch 18","Script OP12","Ageig analysis of delay in invoice approval"
